village,visit,date_set,trap_night,grid_number,line_number,trap_number,bait_type,habitat,trap_land_type,lat_degree,lat_dec,lon_degree,lon_dec,elevation,trap_uid,empty_morning,bait_present,trap_sprung,rodent_trapped,rodent_id,weather,...23
lalehun,1,2020-11-30T00:00:00Z,1,1,2,13,oats,village_periphery,"shrubs, by_path",8,11.793,11,4.76,823,lalehun_1_1_1_13,y,y,n,n,na,rain,NA
lalehun,1,2020-11-30T00:00:00Z,1,1,2,14,oats,village_periphery,"shrubs, by_path",8,11.797,11,4.759,821,lalehun_1_1_1_14,y,n,n,n,na,rain,NA
lalehun,1,2020-11-30T00:00:00Z,1,1,3,15,oats,village_periphery,"shrubs, by_path",8,11.796,11,4.756,820,lalehun_1_1_1_15,y,y,n,n,na,rain,NA
lalehun,1,2020-11-30T00:00:00Z,1,1,3,16,oats,village_periphery,shrubs,8,11.793,11,4.761,817,lalehun_1_1_1_16,y,y,n,n,na,rain,NA
lalehun,1,2020-11-30T00:00:00Z,1,1,3,17,oats,village_periphery,shrubs,8,11.789,11,4.762,816,lalehun_1_1_1_17,y,y,n,n,na,rain,NA
lalehun,1,2020-11-30T00:00:00Z,1,1,3,18,oats,village_periphery,leaf_litter,8,11.785,11,4.763,813,lalehun_1_1_1_18,y,y,n,n,na,rain,NA
lalehun,1,2020-11-30T00:00:00Z,1,1,3,19,oats,village_periphery,by_tree,8,11.781,11,4.763,809,lalehun_1_1_1_19,y,n,n,n,na,rain,NA
lalehun,1,2020-11-30T00:00:00Z,1,1,3,20,oats,village_periphery,bush,8,11.78,11,4.767,804,lalehun_1_1_1_20,y,y,n,n,na,rain,NA
lalehun,1,2020-11-30T00:00:00Z,1,1,3,21,oats,village_periphery,bush,8,11.777,11,4.769,799,lalehun_1_1_1_21,n,n,y,y,LAL-01,rain,NA
lalehun,1,2020-11-30T00:00:00Z,1,1,4,22,oats,village_periphery,leaf_litter,8,11.776,11,4.764,789,lalehun_1_1_1_22,y,y,n,n,na,rain,NA
lalehun,1,2020-11-30T00:00:00Z,1,1,4,23,oats,village_periphery,leaf_litter,8,11.778,11,4.764,794,lalehun_1_1_1_23,y,y,n,n,na,rain,NA
lalehun,1,2020-11-30T00:00:00Z,1,1,4,24,oats,village_periphery,low_grass,8,11.784,11,4.76,799,lalehun_1_1_1_24,y,y,n,n,na,rain,NA
lalehun,1,2020-11-30T00:00:00Z,1,1,4,25,oats,village_periphery,low_grass,8,11.784,11,4.759,799,lalehun_1_1_1_25,y,y,n,n,na,rain,NA
lalehun,1,2020-11-30T00:00:00Z,1,1,4,26,oats,village_periphery,"by_tree, by_path",8,11.786,11,4.758,801,lalehun_1_1_1_26,y,y,n,n,na,rain,NA
lalehun,1,2020-11-30T00:00:00Z,1,1,4,27,oats,village_periphery,"near_structure, old_latrine",8,11.788,11,4.755,799,lalehun_1_1_1_27,y,y,n,n,na,rain,NA
lalehun,1,2020-11-30T00:00:00Z,1,1,4,28,oats,village_periphery,"near_structure, old_latrine",8,11.791,11,4.752,798,lalehun_1_1_1_28,y,n,n,n,na,rain,NA
lalehun,1,2020-11-30T00:00:00Z,1,1,5,29,oats,village_periphery,low_bush,8,11.789,11,4.749,796,lalehun_1_1_1_29,y,y,n,n,na,rain,NA
lalehun,1,2020-11-30T00:00:00Z,1,1,5,30,oats,village_periphery,leaf_litter,8,11.788,11,4.752,793,lalehun_1_1_1_30,y,y,y,n,na,rain,NA
lalehun,1,2020-11-30T00:00:00Z,1,1,5,31,oats,village_periphery,"shrubs, by_path",8,11.784,11,4.754,789,lalehun_1_1_1_31,y,y,n,n,na,rain,NA
lalehun,1,2020-11-30T00:00:00Z,1,1,5,32,oats,village_periphery,leaf_litter,8,11.781,11,4.757,786,lalehun_1_1_1_32,y,y,n,n,na,rain,NA
lalehun,1,2020-11-30T00:00:00Z,1,1,5,33,oats,village_periphery,"no_plants, clearing",8,11.778,11,4.759,785,lalehun_1_1_1_33,y,y,n,n,na,rain,NA
lalehun,1,2020-11-30T00:00:00Z,1,1,5,34,oats,village_periphery,by_tree,8,11.777,11,4.757,780,lalehun_1_1_1_34,y,y,n,n,na,rain,NA
lalehun,1,2020-11-30T00:00:00Z,1,1,5,35,oats,village_periphery,"clearing, by_banana_tree",8,11.774,11,4.76,774,lalehun_1_1_1_35,y,y,n,n,na,rain,NA
lalehun,1,2020-11-30T00:00:00Z,1,1,6,36,oats,village_periphery,"clearing, by_banana_tree",8,11.774,11,4.755,777,lalehun_1_1_1_36,y,y,n,n,na,rain,NA
lalehun,1,2020-11-30T00:00:00Z,1,1,6,37,oats,village_periphery,bush,8,11.773,11,4.755,775,lalehun_1_1_1_37,y,y,n,n,na,rain,NA
lalehun,1,2020-11-30T00:00:00Z,1,1,6,38,oats,village_periphery,"shrubs, by_path",8,11.775,11,4.753,775,lalehun_1_1_1_38,y,"y, partially",n,n,na,rain,NA
lalehun,1,2020-11-30T00:00:00Z,1,1,6,39,oats,village_periphery,"by_tree, by_path",8,11.778,11,4.75,776,lalehun_1_1_1_39,y,y,n,n,na,rain,NA
lalehun,1,2020-11-30T00:00:00Z,1,1,6,40,oats,village_periphery,thick_bush,8,11.78,11,4.747,777,lalehun_1_1_1_40,y,y,n,n,na,rain,NA
lalehun,1,2020-11-30T00:00:00Z,1,1,6,41,oats,village_periphery,thick_bush,8,11.781,11,4.745,777,lalehun_1_1_1_41,y,y,n,n,na,rain,NA
lalehun,1,2020-11-30T00:00:00Z,1,1,6,42,oats,village_periphery,clearing,8,11.785,11,4.742,778,lalehun_1_1_1_42,y,y,n,n,na,rain,NA
lalehun,1,2020-11-30T00:00:00Z,1,1,7,43,oats,village_periphery,thick_bush,8,11.782,11,4.742,779,lalehun_1_1_1_43,y,y,n,n,na,rain,NA
lalehun,1,2020-11-30T00:00:00Z,1,1,7,44,oats,village_periphery,thick_bush,8,11.779,11,4.745,775,lalehun_1_1_1_44,y,"y, partially",n,n,na,rain,NA
lalehun,1,2020-11-30T00:00:00Z,1,1,7,46,oats,village_periphery,by_tree,8,11.777,11,4.748,771,lalehun_1_1_1_46,y,y,y,y,LAL-02,rain,NA
lalehun,1,2020-11-30T00:00:00Z,1,1,7,45,oats,village_periphery,"by_tree, by_path",8,11.772,11,4.749,769,lalehun_1_1_1_45,n,n,n,n,na,rain,NA
lalehun,1,2020-11-30T00:00:00Z,1,1,7,47,oats,village_periphery,"by_tree, by_path",8,11.772,11,4.754,765,lalehun_1_1_1_47,y,y,n,n,na,rain,NA
lalehun,1,2020-11-30T00:00:00Z,1,1,7,48,oats,village_periphery,"clearing, by_banana_tree",8,11.771,11,4.756,762,lalehun_1_1_1_48,y,n,n,n,na,rain,NA
lalehun,1,2020-11-30T00:00:00Z,1,1,7,49,oats,village_periphery,"shrubs, by_banana_tree",8,11.769,11,4.758,759,lalehun_1_1_1_49,y,n,n,n,na,rain,NA
lalehun,1,2020-12-01T00:00:00Z,2,1,1,1,oats,village_periphery,"bush, by_path",8,11.801,11,4.767,856,lalehun_1_2_1_1,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,2,1,1,2,oats,village_periphery,"bush, by_tree",8,11.796,11,4.771,855,lalehun_1_2_1_2,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,2,1,1,3,oats,village_periphery,"bush, by_path",8,11.793,11,4.772,857,lalehun_1_2_1_3,y,n,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,2,1,1,4,oats,village_periphery,low_shrubs,8,11.792,11,4.774,854,lalehun_1_2_1_4,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,2,1,1,5,oats,village_periphery,"low_shrubs, by_path",8,11.787,11,4.774,849,lalehun_1_2_1_5,y,n,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,2,1,1,6,oats,village_periphery,"shrubs, by_path, oil_palm_plantation",8,11.783,11,4.774,844,lalehun_1_2_1_6,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,2,1,1,7,oats,village_periphery,"by_tree, oil_palm_plantation",8,11.781,11,4.775,837,lalehun_1_2_1_7,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,2,1,2,8,oats,village_periphery,"shrubs, edge_oil_palm_plantation",8,11.779,11,4.77,830,lalehun_1_2_1_8,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,2,1,2,9,oats,village_periphery,shrubs,8,11.782,11,4.769,832,lalehun_1_2_1_9,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,2,1,2,10,oats,village_periphery,"shrubs, by_path",8,11.785,11,4.763,833,lalehun_1_2_1_10,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,2,1,2,11,oats,village_periphery,shrubs,8,11.787,11,4.764,831,lalehun_1_2_1_11,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,2,1,2,12,oats,village_periphery,grass,8,11.792,11,4.764,823,lalehun_1_2_1_12,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,2,1,2,13,oats,village_periphery,"shrubs, by_path",8,11.793,11,4.76,823,lalehun_1_2_1_13,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,2,1,2,14,oats,village_periphery,"shrubs, by_path",8,11.797,11,4.759,821,lalehun_1_2_1_14,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,2,1,3,15,oats,village_periphery,"shrubs, by_path",8,11.796,11,4.756,820,lalehun_1_2_1_15,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,2,1,3,16,oats,village_periphery,shrubs,8,11.793,11,4.761,817,lalehun_1_2_1_16,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,2,1,3,17,oats,village_periphery,shrubs,8,11.789,11,4.762,816,lalehun_1_2_1_17,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,2,1,3,18,oats,village_periphery,leaf_litter,8,11.785,11,4.763,813,lalehun_1_2_1_18,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,2,1,3,19,oats,village_periphery,by_tree,8,11.781,11,4.763,809,lalehun_1_2_1_19,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,2,1,3,20,oats,village_periphery,bush,8,11.78,11,4.767,804,lalehun_1_2_1_20,y,n,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,2,1,3,21,oats,village_periphery,bush,8,11.777,11,4.769,799,lalehun_1_2_1_21,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,2,1,4,22,oats,village_periphery,leaf_litter,8,11.776,11,4.764,789,lalehun_1_2_1_22,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,2,1,4,23,oats,village_periphery,leaf_litter,8,11.778,11,4.764,794,lalehun_1_2_1_23,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,2,1,4,24,oats,village_periphery,low_grass,8,11.784,11,4.76,799,lalehun_1_2_1_24,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,2,1,4,25,oats,village_periphery,low_grass,8,11.784,11,4.759,799,lalehun_1_2_1_25,y,n,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,2,1,4,26,oats,village_periphery,"by_tree, by_path",8,11.786,11,4.758,801,lalehun_1_2_1_26,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,2,1,4,27,oats,village_periphery,"near_structure, old_latrine",8,11.788,11,4.755,799,lalehun_1_2_1_27,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,2,1,4,28,oats,village_periphery,"near_structure, old_latrine",8,11.791,11,4.752,798,lalehun_1_2_1_28,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,2,1,5,29,oats,village_periphery,low_bush,8,11.789,11,4.749,796,lalehun_1_2_1_29,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,2,1,5,30,oats,village_periphery,leaf_litter,8,11.788,11,4.752,793,lalehun_1_2_1_30,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,2,1,5,31,oats,village_periphery,"shrubs, by_path",8,11.784,11,4.754,789,lalehun_1_2_1_31,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,2,1,5,32,oats,village_periphery,leaf_litter,8,11.781,11,4.757,786,lalehun_1_2_1_32,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,2,1,5,33,oats,village_periphery,"no_plants, clearing",8,11.778,11,4.759,785,lalehun_1_2_1_33,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,2,1,5,34,oats,village_periphery,by_tree,8,11.777,11,4.757,780,lalehun_1_2_1_34,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,2,1,5,35,oats,village_periphery,"clearing, by_banana_tree",8,11.774,11,4.76,774,lalehun_1_2_1_35,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,2,1,6,36,oats,village_periphery,"clearing, by_banana_tree",8,11.774,11,4.755,777,lalehun_1_2_1_36,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,2,1,6,37,oats,village_periphery,bush,8,11.773,11,4.755,775,lalehun_1_2_1_37,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,2,1,6,38,oats,village_periphery,"shrubs, by_path",8,11.775,11,4.753,775,lalehun_1_2_1_38,y,n,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,2,1,6,39,oats,village_periphery,"by_tree, by_path",8,11.778,11,4.75,776,lalehun_1_2_1_39,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,2,1,6,40,oats,village_periphery,thick_bush,8,11.78,11,4.747,777,lalehun_1_2_1_40,y,n,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,2,1,6,41,oats,village_periphery,thick_bush,8,11.781,11,4.745,777,lalehun_1_2_1_41,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,2,1,6,42,oats,village_periphery,clearing,8,11.785,11,4.742,778,lalehun_1_2_1_42,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,2,1,7,43,oats,village_periphery,thick_bush,8,11.782,11,4.742,779,lalehun_1_2_1_43,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,2,1,7,44,oats,village_periphery,thick_bush,8,11.779,11,4.745,775,lalehun_1_2_1_44,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,2,1,7,46,oats,village_periphery,by_tree,8,11.777,11,4.748,771,lalehun_1_2_1_46,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,2,1,7,45,oats,village_periphery,"by_tree, by_path",8,11.772,11,4.749,769,lalehun_1_2_1_45,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,2,1,7,47,oats,village_periphery,"by_tree, by_path",8,11.772,11,4.754,765,lalehun_1_2_1_47,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,2,1,7,48,oats,village_periphery,"clearing, by_banana_tree",8,11.771,11,4.756,762,lalehun_1_2_1_48,y,n,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,2,1,7,49,oats,village_periphery,"shrubs, by_banana_tree",8,11.769,11,4.758,759,lalehun_1_2_1_49,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,1,2,1,50,oats,proximal_agriculture,banana_plantation,8,11.918,11,4.766,760,lalehun_1_1_2_50,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,1,2,1,51,oats,proximal_agriculture,"shrubs, by_path, banana_plantation, edge",8,11.924,11,4.765,760,lalehun_1_1_2_51,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,1,2,1,52,oats,proximal_agriculture,"by_tree, by_path, banana_plantation, edge",8,11.926,11,4.765,760,lalehun_1_1_2_52,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,1,2,1,53,oats,proximal_agriculture,"shrubs, rice_field, edge",8,11.928,11,4.764,758,lalehun_1_1_2_53,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,1,2,1,54,oats,proximal_agriculture,"rice_field, by path",8,11.93,11,4.761,756,lalehun_1_1_2_54,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,1,2,1,55,oats,proximal_agriculture,"leaf_litter, by_path, by_standing_water, edge",8,11.932,11,4.761,756,lalehun_1_1_2_55,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,1,2,1,56,oats,proximal_agriculture,"edge, rice_field, by_water",8,11.934,11,4.757,758,lalehun_1_1_2_56,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,1,2,2,57,oats,proximal_agriculture,rice_field,8,11.928,11,4.757,758,lalehun_1_1_2_57,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,1,2,2,58,oats,proximal_agriculture,rice_field,8,11.924,11,4.756,758,lalehun_1_1_2_58,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,1,2,2,59,oats,proximal_agriculture,rice_field,8,11.923,11,4.757,757,lalehun_1_1_2_59,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,1,2,2,60,oats,proximal_agriculture,rice_field,8,11.92,11,4.758,757,lalehun_1_1_2_60,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,1,2,2,61,oats,proximal_agriculture,"by_cacao_tree, leaf_litter, rice_field, edge",8,11.927,11,4.758,760,lalehun_1_1_2_61,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,1,2,2,62,oats,proximal_agriculture,"shrubs, by_path",8,11.913,11,4.758,760,lalehun_1_1_2_62,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,1,2,2,63,oats,proximal_agriculture,by_tree,8,11.909,11,4.756,762,lalehun_1_1_2_63,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,1,2,3,64,oats,proximal_agriculture,"by_tree, disturbed_forest",8,11.908,11,4.752,763,lalehun_1_1_2_64,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,1,2,3,65,oats,proximal_agriculture,"by_tree, by_path",8,11.912,11,4.75,759,lalehun_1_1_2_65,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,1,2,3,66,oats,proximal_agriculture,"by_tree, rice_field, edge",8,11.915,11,4.748,759,lalehun_1_1_2_66,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,1,2,3,67,oats,proximal_agriculture,rice_field,8,11.919,11,4.747,758,lalehun_1_1_2_67,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,1,2,3,68,oats,proximal_agriculture,rice_field,8,11.922,11,4.748,758,lalehun_1_1_2_68,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,1,2,3,69,oats,proximal_agriculture,"clearing, rice_field",8,11.926,11,4.747,757,lalehun_1_1_2_69,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,1,2,3,70,oats,proximal_agriculture,"shrubs, rice_field",8,11.93,11,4.747,757,lalehun_1_1_2_70,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,1,2,4,71,oats,proximal_agriculture,"by_calabas_tree, rice_field, edge",8,11.928,11,4.742,759,lalehun_1_1_2_71,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,1,2,4,72,oats,proximal_agriculture,rice_field,8,11.926,11,4.742,758,lalehun_1_1_2_72,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,1,2,4,73,oats,proximal_agriculture,rice_field,8,11.922,11,4.743,758,lalehun_1_1_2_73,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,1,2,4,74,oats,proximal_agriculture,rice_field,8,11.92,11,4.742,758,lalehun_1_1_2_74,y,n,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,1,2,4,75,oats,proximal_agriculture,rice_field,8,11.917,11,4.741,757,lalehun_1_1_2_75,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,1,2,4,76,oats,proximal_agriculture,"by_cacao_tree, rice_field, edge",8,11.913,11,4.742,758,lalehun_1_1_2_76,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,1,2,4,77,oats,proximal_agriculture,"leaf_litter, by_cacao_tree",8,11.91,11,4.744,757,lalehun_1_1_2_77,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,1,2,5,78,oats,proximal_agriculture,"by_cacao_tree, rice_field, edge",8,11.908,11,4.739,759,lalehun_1_1_2_78,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,1,2,5,79,oats,proximal_agriculture,rice_field,8,11.912,11,4.736,758,lalehun_1_1_2_79,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,1,2,5,80,oats,proximal_agriculture,rice_field,8,11.916,11,4.736,758,lalehun_1_1_2_80,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,1,2,5,101,oats,proximal_agriculture,rice_field,8,11.918,11,4.734,757,lalehun_1_1_2_101,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,1,2,5,102,oats,proximal_agriculture,rice_field,8,11.921,11,4.734,757,lalehun_1_1_2_102,y,n,y,y,LAL-03,dry,NA
lalehun,1,2020-12-01T00:00:00Z,1,2,5,103,oats,proximal_agriculture,rice_field,8,11.924,11,4.734,756,lalehun_1_1_2_103,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,1,2,5,104,oats,proximal_agriculture,"rice_field, by_running_water",8,11.928,11,4.735,758,lalehun_1_1_2_104,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,1,2,6,105,oats,proximal_agriculture,"rice_field, by_running_water",8,11.931,11,4.733,758,lalehun_1_1_2_105,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,1,2,6,106,oats,proximal_agriculture,"bush, by_running_water, rice_field",8,11.927,11,4.73,758,lalehun_1_1_2_106,y,n,y,y,LAL-04,dry,NA
lalehun,1,2020-12-01T00:00:00Z,1,2,6,107,oats,proximal_agriculture,rice_field,8,11.923,11,4.727,758,lalehun_1_1_2_107,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,1,2,6,108,oats,proximal_agriculture,rice_field,8,11.92,11,4.728,756,lalehun_1_1_2_108,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,1,2,6,109,oats,proximal_agriculture,rice_field,8,11.917,11,4.729,755,lalehun_1_1_2_109,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,1,2,6,110,oats,proximal_agriculture,rice_field,8,11.914,11,4.732,755,lalehun_1_1_2_110,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,1,2,6,131,oats,proximal_agriculture,rice_field,8,11.916,11,4.73,755,lalehun_1_1_2_131,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,1,2,7,132,oats,proximal_agriculture,"bush, by_path",8,11.921,11,4.771,766,lalehun_1_1_2_132,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,1,2,7,133,oats,proximal_agriculture,"bush, banana_plantation",8,11.924,11,4.768,755,lalehun_1_1_2_133,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,1,2,7,134,oats,proximal_agriculture,"by_path, banana_plantation",8,11.927,11,4.769,765,lalehun_1_1_2_134,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,1,2,7,135,oats,proximal_agriculture,"by_path, by_tree",8,11.932,11,4.768,763,lalehun_1_1_2_135,y,n,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,1,2,7,136,oats,proximal_agriculture,"bush, by_path",8,11.933,11,4.765,765,lalehun_1_1_2_136,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,1,2,7,137,oats,proximal_agriculture,"by_tree, near_house",8,11.938,11,4.76,764,lalehun_1_1_2_137,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,1,2,7,138,oats,proximal_agriculture,"by_tree, by_path, cocoa_plantation",8,11.94,11,4.758,758,lalehun_1_1_2_138,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,1,3a,1,139,oats,developing_banana_plantation,"by_banana_tree, banana_plantation",8,11.931,11,4.811,773,lalehun_1_1_3a_139,y,y,n,n,na,dry,NA
lalehun,1,2020-12-01T00:00:00Z,1,3a,1,140,oats,developing_banana_plantation,"by_banana_tree, banana_plantation",8,11.933,11,4.813,777,lalehun_1_1_3a_140,y,y,n,n,na,dry,NA
